                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                   Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
Shawn Abner            NFG     rf  22  .203  .203  .275  69  14   5   0   0   8   3   0   0  18   0   0 
Luis Aguayo            EVN     3b  29  .217  .282  .315 184  40   3   0   5  12  29   1  17  45   0   1 
Mike Aldrete*          TEW     lf  27  .298  .379  .321  84  25   2   0   0  12   3   0  11   7   0   0 
Luis Alicea#           RYK     2b  22  .227  .306  .308 308  70  13   3   2  27  28   2  34  40   4   3 
Andy Allanson          FHK     c   26  .234  .276  .293 372  87   9   2   3  24  46   3  20  56   3   1 
Roberto Alomar#        MAR     2b  20  .256  .303  .373 574 147  21  11   8  79  55   1  40  84  30  13 
Sandy Alomar           TEW     c   22  .500  .667  .750   4   2   1   0   0   2   1   0   2   1   0   0 
Brady Anderson*        BAR     cf  24  .230  .282  .296 318  73  10   4   1  32  26   4  20  62  13   5 
Dave Anderson          RYK     ss  27  .151  .235  .260  73  11   2   0   2   9   8   0   8  12   1   1 
Tony Armas             CTW     lf  34  .252  .296  .432 278  70  13   2  11  29  45   0  18  56   1   1 
Alan Ashby#            CTW     c   36  .271  .326  .407 118  32   4   0   4  13  24   0  10  17   0   0 
Alan Ashby#            FER     c   36  .339  .388  .500  62  21   7   0   1   9   4   0   5  12   0   0 
Alan Ashby#                    c   36  .294  .347  .439 180  53  11   0   5  22  28   0  15  29   0   0 
Wally Backman#         CTW     2b  28  .298  .388  .321  84  25   2   0   0   7   9   0  13  18   0   0 
Wally Backman#         EVN     2b  28  .262  .342  .292 233  61   7   0   0  32  11   0  29  31  13   5 
Wally Backman#                 2b  28  .271  .355  .300 317  86   9   0   0  39  20   0  42  49  13   5 
Harold Baines*         ES?     dh  29  .244  .300  .357 585 143  35   2   9  63  42   1  45 113   1   0 
Doug Baker#            ES?     ss  27  .167  .143  .167   6   1   0   0   0   1   2   0   0   4   0   0 
Steve Balboni          CIN     dh  31  .286  .286  .286   7   2   0   0   0   1   0   0   0   2   0   0 
Chris Bando#           CIN     c   32  .167  .250  .333  18   3   0   0   1   1   2   0   2   5   0   0 
Jesse Barfield         BAR     rf  28  .249  .284  .450 449 112  18   3  22  62  63   2  21 103   3   2 
Marty Barrett          BAR     2b  30  .300  .341  .355 453 136  18   2   1  59  38   5  27  28   7   2 
Kevin Bass#            EVN     rf  29  .256  .317  .422 379  97  18   3  13  49  37   7  29  39  17   7 
Buddy Bell             CIN     3b  36  .177  .292  .306  62  11   2   0   2   7   7   1   9   6   0   0 
