                    DMB pitching register (vs batter) -- All players in database                    
                                           Regular season                                           

Name                     Team    P Age   AVG   OBP   SPC   AB   H  2B  3B  HR  TB HBP  BB  IW   K  SB  CS 
Jim Acker                ES?    mr  29  .345  .390  .564  165  57   7   7   5  93   2  10   1  28   5   2 
Juan Agosto*             EVN    mr  30  .240  .299  .356  267  64   9   2   6  95   1  22   3  26   3   3 
Rick Aguilera            GBP    mr  26  .337  .396  .554   83  28   6   0   4  46   0   8   0  11   1   0 
Gibson Alba*             CTW    mr  28  .056  .105  .056   18   1   0   0   0   1   0   1   0   4   0   0 
Neil Allen               CCC    mr  30  .295  .356  .485  132  39   2   1   7  64   0  13   1  21   0   2 
Jose Alvarez             MAR    mr  32  .253  .328  .329  170  43   4   0   3  56   1  18   0  34   0   3 
Larry Andersen           GBP    mr  35  .309  .332  .443  262  81   6   4   7 116   0  10   1  52  11   1 
Allan Anderson*          CTW    sp  24  .251  .277  .331  362  91  10   2   5 120   3  11   0  45   4   2 
Allan Anderson*          EVN    sp  24  .302  .335  .413  235  71  10   2   4  97   2  10   0  23   6   2 
Allan Anderson*                 sp  24  .271  .300  .363  597 162  20   4   9 217   5  21   0  68  10   4 
Rick Anderson            NFG    sp  31  .369  .400  .532  141  52   7   5   2  75   1   7   0  11   8   2 
Joaquin Andujar          GBP    mr  35  .331  .353  .488  160  53  13   3   2  78   0   6   1  19   4   1 
Luis Aquino              CCC    sp  24  .237  .361  .344  131  31   3   1   3  45   3  23   3  13   4   2 
Jack Armstrong           NFG    sp  23  .299  .409  .500  194  58  13   4   6  97   1  37   2  27  14   2 
Paul Assenmacher*        GBP    mr  27  .215  .263  .304  260  56   5   3   4  79   0  18   2  69   6   3 
Keith Atherton           CIN    mr  29  .250  .294  .625   16   4   3   0   1  10   0   1   0   7   0   0 
Don August               BBG    sp  24  .205  .254  .269  375  77  13   1   3 101   1  25   0  45  11   8 
Scott Bailes*            TEW    sp  26  .214  .277  .375  248  53   7   3   9  93   0  22   1  17   2   8 
Doug Bair                EVN    mr  38  .196  .268  .412   51  10   3   1   2  21   0   5   3   8   0   0 
Jeff Ballard*            BAR    sp  24  .212  .303  .364   66  14   1   0   3  24   2   7   1   4   0   1 
Scott Bankhead           BBG    sp  24  .212  .259  .305  499 106  33   2   3 152   2  31   3  82  11   6 
Floyd Bannister*         RYK    sp  33  .251  .304  .481  343  86  20   4  17 165   4  23   2  51  13   8 
Jose Bautista            CTW    sp  23  .340  .364  .604   53  18   3   1   3  32   0   2   0   4   2   0 
Steve Bedrosian          FHK    cl  30  .270  .330  .359  304  82  11   2   4 109   0  29   4  56  10   3 
Tim Belcher              NEE    sp  26  .229  .277  .328  525 120  24   5   6 172   0  39   0 110  14   6 
Juan Berenguer           CCC    mr  33  .188  .284  .275  378  71  10   1   7 104   2  50   2 118  10   5 
Mike Bielecki            NFG    mr  28  .293  .352  .471  157  46   7   3   5  74   2  14   0  26   6   0 
Tim Birtsas*             NFG    mr  27  .282  .341  .352   71  20   3   1   0  25   1   7   0   8   6   3 
Jeff Bittiger            RYK    mr  26  .257  .332  .446  202  52   8   3   8  90   0  24   0  29   2   3 
Bud Black*               BAR    mr  31  .210  .282  .287  334  70   8   3   4  96   4  31   4  80   5   2 
Bert Blyleven            NFG    sp  37  .306  .346  .451  648 198  28   6  18 292   8  34   0 108  33   7 
Mike Boddicker           CIN    sp  30  .268  .326  .390  721 193  27   2  19 281  11  52   1 129  18  10 
Joe Boever               CEN    mr  27  .203  .243  .261   69  14   1   0   1  18   4   0   0   7   0   2 
Tom Bolton*              BMB    mr  26  .279  .327  .429  140  39  12   0   3  60   0  11   0  10   1   0 
Greg Booker              RYK    mr  28  .287  .347  .433  261  75  11   0   9 113   3  22   3  45  15   4 
Rich Bordi               BAR    sp  29  .219  .342  .406   32   7   3   0   1  13   0   6   0   7   2   1 
Chris Bosio              SUN    sp  25  .276  .299  .372  749 207  33   6   9 279   2  26   0  96  22   8 
Oil Can Boyd             GBP    sp  28  .269  .297  .482  454 122  19   6  22 219   0  21   1  71  10   6 
Jeff Brantley            CCC    mr  24  .260  .356  .416   77  20   7   1   1  32   3   9   1   8   1   0 
Keith Brown              EVN    sp  24  .175  .214  .275   40   7   1   0   1  11   0   2   0   3   3   0 
Kevin Brown              FHK    sp  23  .231  .280  .316  117  27   4   0   2  37   3   5   0  12   6   1 
Tom Browning*            EVN    sp  28  .223  .271  .388  758 169  31   2  30 294   2  51   0  89   6   2 
Tim Burke                RYK    cl  29  .279  .326  .389  226  63   4   3   5  88   0  16   2  19   3   0 
Todd Burns               CTW    sp  24  .249  .296  .382  406 101  16   1  12 155   1  29   0  64   9   5 
Greg Cadaret*            FHK    mr  26  .198  .298  .283  237  47   7   2   3  67   2  32   1  62   7   1 
John Candelaria*         SUN    sp  34  .282  .304  .453  457 129  25   4  15 207   0  15   1  75   4   3 
Tom Candiotti            CIN    sp  30  .292  .332  .444  689 201  38   2  21 306   8  36   2 108   9   8 
Don Carman*              CCC    sp  28  .346  .401  .579  133  46  11   1   6  77   2  11   1  14   0   1 
Cris Carpenter           NEE    sp  23  .369  .387  .491  222  82   9   3   4 109   2   5   0  30   0   2 
Chuck Cary*              NEE    mr  28  .139  .279  .333   36   5   1   0   2  12   1   6   0  11   0   1 
Tony Castillo*           CTW    mr  25  .246  .246  .316   57  14   1   0   1  18   0   0   0  13   0   0 
John Cerutti*            MAR    mr  28  .256  .304  .429  399 102  19   4  14 171   4  25   6  58  14   7 
Norm Charlton*           CIN    sp  25  .264  .323  .385  239  63  11   0   6  92   2  19   4  30   3   6 
Jim Clancy               NEE    sp  32  .309  .361  .455   55  17   5   0   1  25   1   4   0  11   0   1 
Mark Clear               TEW    mr  32  .189  .270  .279  122  23   2   0   3  34   0  14   0  32   1   0 
Roger Clemens            NFG    sp  25  .228  .277  .367  733 167  26   5  22 269   7  45   0 215  15   8 
Stew Cliburn             BAR    mr  31  .053  .100  .105   19   1   1   0   0   2   0   1   0   4   0   0 
Keith Comstock*          BAR    mr  32  .308  .349  .692   39  12   3   0   4  27   0   3   0  14   2   1 
David Cone               SUN    sp  25  .258  .331  .387  674 174  24   3  19 261   6  68   3 157  21   8 
Dennis Cook*             FHK    sp  25  .227  .278  .261   88  20   3   0   0  23   1   6   0  15   4   2 
Sherman Corbett*         BMB    mr  25  .319  .384  .452  166  53  12   2   2  75   0  20   1  26   3   0 
Jim Corsi                ES?    mr  26  .341  .365  .354   82  28   1   0   0  29   0   3   1   9   4   1 
John Costello            EVN    mr  27  .246  .336  .374  187  46   2   2   6  70   1  28   0  47   5   1 
Danny Cox                NEE    sp  28  .306  .342  .449  350 107  24   1   8 157   1  22   5  59   7   2 
Tim Crews                GBP    mr  27  .270  .298  .334  293  79   8   1   3  98   4  10   3  53   3   3 
Chuck Crim               MAR    mr  26  .249  .305  .364  313  78  13   1   7 114   2  24   1  54   3   2 
Ron Darling              FHK    sp  27  .242  .296  .392  765 185  30   8  23 300   2  58   0 155  16  10 
Danny Darwin             NEE    mr  32  .278  .317  .464  629 175  38   5  23 292   4  33   1 107  13  10 
Mark Davis*              CEN    cl  27  .221  .284  .329  307  68  10   4   5 101   0  29   0  83   8   3 
Ron Davis                CIN    mr  32  .000  .000  .000    4   0   0   0   0   0   0   0   0   1   0   0 
Storm Davis              RYK    sp  26  .293  .356  .415  615 180  24   6  13 255   1  62   1 112  20   6 
Ken Dayley*              EVN    mr  29  .234  .260  .304  214  50  12   0   1  65   0   8   3  37   3   1 
                    DMB pitching register (vs batter) -- All players in database                    
                                           Regular season                                           

Name                     Team    P Age   AVG   OBP   SPC   AB   H  2B  3B  HR  TB HBP  BB  IW   K  SB  CS 
Jose DeJesus             CEN    sp  23  .238  .360  .476   21   5   3   1   0  10   0   4   0   4   1   0 
Jose DeLeon              ES?    sp  27  .259  .337  .352  750 194  31   6   9 264   1  91   1 185  24   7 
Jim Deshaies*            FHK    sp  28  .228  .274  .418  799 182  38   9  32 334   4  50   0 106  14   3 
Rob Dibble               ES?    mr  24  .236  .309  .395  220  52  12   4   5  87   1  23   1  60  13   0 
Frank DiPino*            NFG    mr  31  .305  .351  .382  275  84  15   0   2 105   0  20   5  45   3   1 
John Dopson              FER    sp  24  .257  .326  .364  467 120  18   1  10 170   3  46   5  64  29   4 
Rich Dotson              GBP    sp  29  .267  .361  .333  135  36   4   1   1  45   1  20   1  23   2   2 
Kelly Downs              FHK    sp  27  .249  .296  .356  675 168  33   3  11 240   7  39   0 114   6   9 
Doug Drabek              TEW    sp  25  .249  .303  .367  841 209  30   8  18 309   9  60   3 109  12   7 
Dave Dravecky*           FHK    sp  32  .237  .265  .336  152  36   4   1   3  51   0   7   4  19   1   3 
Mike Dunne               BMB    sp  25  .301  .406  .420  193  58   8   0   5  81   0  35   0  14   3   4 
Gary Eave                BBG    mr  24  .412  .524 1.059   17   7   2   0   3  18   0   4   0   0   0   1 
Dennis Eckersley         NFG    cl  33  .241  .270  .360  203  49   6   3   4  73   1   8   0  49   5   1 
Juan Eichelberger        RYK    mr  34  .292  .327  .478  161  47   9   0   7  77   1   8   0   6   1   3 
Mark Eichhorn            CCC    mr  27  .256  .304  .326  270  69   6   2   3  88   7  14   3  36   3   4 
Steve Farr               GBP    cl  31  .206  .236  .366  257  53  11   3   8  94   0  10   1  51   5   3 
John Farrell             NFG    sp  25  .249  .310  .360  606 151  17   4  14 218   5  50   1  72  15   4 
Sid Fernandez*           CIN    sp  25  .215  .292  .386  671 144  27   8  24 259   5  71   0 178  20   2 
Chuck Finley*            NEE    sp  25  .260  .328  .388  780 203  23   7  21 303   7  75   1 109  20   6 
Mike Flanagan*           CCC    sp  36  .307  .360  .465  678 208  42   1  21 315   9  51   3  74  16  11 
Tony Fossas*             BAR    mr  30  .313  .340  .583   48  15   7   0   2  28   0   2   0   1   0   0 
John Franco*             SUN    cl  27  .228  .283  .270  289  66   6   0   2  78   0  23   1  33   5   6 
Willie Fraser            BMB    sp  24  .255  .320  .419  713 182  39   6  22 299   4  65   2  81  19  14 
Marvin Freeman           BMB    sp  25  .293  .408  .396  225  66  10   2   3  89   0  45   2  37  16   3 
Todd Frohwirth           BAR    mr  25  .271  .417  .604   48  13   5   1   3  29   0  12   1   9   3   1 
Gene Garber              TEW    cl  40  .224  .287  .353  116  26   0   0   5  41   0  11   0  22   0   1 
Wes Gardner              CEN    sp  27  .222  .293  .361  316  70  13   2   9 114   3  30   0  60   8   2 
Scott Garrelts           BBG    mr  26  .230  .290  .282  291  67  10   1   1  82   2  23   1  66  15   2 
Paul Gibson*             BAR    mr  28  .245  .296  .336  298  73  13   1   4 100   3  20   4  43  10   2 
Tom Glavine*             CCC    sp  22  .251  .311  .385  712 179  31   5  18 274   9  54   3  75   8  11 
Jerry Gleaton*           FER    mr  30  .254  .343  .381  126  32   9   2   1  48   1  16   5  28   2   1 
German Gonzalez          TEW    mr  26  .000  .000  .000    3   0   0   0   0   0   0   0   0   2   0   0 
Dwight Gooden            FHK    sp  23  .243  .285  .307  875 213  26   0  10 269   5  47   0 153  23   6 
Don Gordon               NEE    mr  28  .289  .336  .485   97  28   6   2   3  47   3   5   0   8   1   1 
Tom Gordon               FER    mr  20  .364  .404  .500   44  16   3   0   1  22   0   3   1  12   0   2 
Goose Gossage            BMB    cl  36  .275  .345  .368  182  50  12   1   1  67   8  13   3  41   9   0 
Jim Gott                 BMB    cl  28  .287  .341  .451  268  77  13   2   9 121   2  21   2  68   3   0 
Jeff Gray                BMB    mr  25  .222  .229  .311   45  10   1   0   1  14   0   1   0   8   0   0 
Kevin Gross              TEW    sp  27  .306  .384  .410  395 121  18   1   7 162   7  46   5  67  25   2 
Cecilio Guante           CIN    mr  28  .215  .261  .409  237  51  10   6   8  97   4  11   1  59   3   1 
Mark Gubicza             BBG    sp  25  .202  .266  .285  885 179  29   4  12 252   2  76   0 147  17   9 
Lee Guetterman*          BMB    mr  29  .369  .424  .480  179  66  10   2   2  86   3  15   3  15   4   1 
Ron Guidry*              CIN    sp  37  .169  .217  .269  130  22  13   0   0  35   2   6   2  15   1   2 
Jose Guzman              FER    sp  25  .236  .312  .357  594 140  30   3  12 212   5  61   2 116  17   7 
John Habyan              CCC    mr  24  .296  .359  .465   71  21   5   2   1  33   0   7   1   2   3   0 
Drew Hall*               FER    mr  25  .280  .315  .530  100  28   7   3   4  53   0   6   2  21   4   0 
Atlee Hammaker*          BAR    mr  30  .249  .306  .359  418 104  20   4   6 150   4  32   3  50  13   4 
Erik Hanson              NEE    sp  23  .244  .293  .323  164  40  11   1   0  53   1  13   0  37   3   2 
Mike Harkey              GBP    sp  21  .301  .362  .504  123  37   6   2   5  62   0  13   0  18   2   0 
Pete Harnisch            CCC    sp  21  .319  .347  .447   47  15   1   1   1  21   0   2   0   3   0   0 
Greg Harris              MAR    mr  32  .237  .323  .374  350  83   4   4  12 131   5  41   1  66   8   4 
Greg W. Harris           FHK    mr  24  .176  .230  .279   68  12   1   0   2  19   0   5   0  20   1   0 
Bryan Harvey             TEW    cl  25  .211  .258  .279  294  62   8   0   4  82   2  17   0  80  11   0 
Andy Hawkins             SUN    sp  28  .247  .310  .362  279  69  11   3   5 101   0  26   2  33  11   1 
Neal Heaton*             FER    mr  28  .266  .337  .433  383 102  19   3  13 166   2  40   6  49   9   1 
