                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age    ERA   W   L   S   G  GS  CG SHO    INN   H   R  ER  BB   K  HR GDP 
Jim Acker               ES?    mr  29   6.14   1   0   3  24   0   0   0   36.2  57  29  25  10  28   5   1 
Juan Agosto*            EVN    mr  30   2.61   2   8  11  37   6   0   0   72.1  64  25  21  22  26   6  10 
Rick Aguilera           GBP    mr  26   7.11   0   4   0   4   4   0   0   19.0  28  17  15   8  11   4   1 
Gibson Alba*            CTW    mr  28   0.00   0   0   1   4   0   0   0    5.1   1   0   0   1   4   0   0 
Neil Allen              CCC    mr  30   4.98   1   3   1  14   2   0   0   34.1  39  20  19  13  21   7   4 
Jose Alvarez            MAR    mr  32   2.62   1   2   4  35   0   0   0   44.2  43  16  13  18  34   3   6 
Larry Andersen          GBP    mr  35   4.45   2   3   0  45   0   0   0   62.2  81  36  31  10  52   7   5 
Allan Anderson*         CTW    sp  24   2.22   7   3   0  13  13   5   4   97.1  91  31  24  11  45   5  14 
Allan Anderson*         EVN    sp  24   5.18   2   5   0   9   9   1   0   57.1  71  34  33  10  23   4   4 
Allan Anderson*                sp  24   3.32   9   8   0  22  22   6   4  154.2 162  65  57  21  68   9  18 
Rick Anderson           NFG    sp  31   7.03   0   1   0  16   0   0   0   32.0  52  29  25   7  11   2   2 
Joaquin Andujar         GBP    mr  35   6.08   0   0   0  24   0   0   0   37.0  53  26  25   6  19   2   1 
Luis Aquino             CCC    sp  24   4.86   1   2   0  11   5   0   0   37.0  31  20  20  23  13   3   4 
Jack Armstrong          NFG    sp  23   7.21   1   6   0  11  10   0   0   48.2  58  41  39  37  27   6   4 
Paul Assenmacher*       GBP    mr  27   2.41   5   0   0  45   0   0   0   71.0  56  20  19  18  69   4   7 
Keith Atherton          CIN    mr  29   4.50   0   1   2   3   0   0   0    4.0   4   2   2   1   7   1   0 
Don August              BBG    sp  24   1.58  10   4   1  67   4   0   0  108.1  77  22  19  25  45   3   9 
Scott Bailes*           TEW    sp  26   2.99   8   2   0  52   1   0   0   69.1  53  23  23  22  17   9   9 
Doug Bair               EVN    mr  38   2.57   2   0   0   2   2   0   0   14.0  10   4   4   5   8   2   0 
Jeff Ballard*           BAR    sp  24   3.66   1   2   0   3   3   0   0   19.2  14   9   8   7   4   3   2 
Scott Bankhead          BBG    sp  24   2.07   9   5   0  20  18   5   0  139.1 106  39  32  31  82   3   6 
Floyd Bannister*        RYK    sp  33   4.81   5   7   0  15  15   1   0   88.0  86  55  47  23  51  17   5 
Jose Bautista           CTW    sp  23   7.50   0   2   0   3   2   1   0   12.0  18  11  10   2   4   3   1 
Steve Bedrosian         FHK    cl  30   2.71   8   8   3  60   0   0   0   79.2  82  27  24  29  56   4   6 
Tim Belcher             NEE    sp  26   2.53   8   7   0  21  21   4   0  142.1 120  48  40  39 110   6   2 
Juan Berenguer          CCC    mr  33   1.91   7   1   6  52   6   0   0  108.1  71  23  23  50 118   7   3 
Mike Bielecki           NFG    mr  28   5.22   1   5   0  14   4   0   0   39.2  46  24  23  14  26   5   2 
Tim Birtsas*            NFG    mr  27   2.75   1   3   0   4   4   0   0   19.2  20   9   6   7   8   0   2 
Jeff Bittiger           RYK    mr  26   4.56   0   2   0  27   0   0   0   53.1  52  30  27  24  29   8   0 
