                               DMB team vs team -- Surfer Rosa League                               
                                           Regular season                                           

       RYK   TEW   NFG   MAR   CIN   CTW  
RYK     x    1-10  4-7   6-5   5-6   2-8  
TEW    10-1   x    9-2   5-5   6-5   8-3  
NFG    7-4   2-9    x    0-11  3-7   3-8  
MAR    5-6   5-5   11-0   x    4-7   4-7  
CIN    6-5   5-6   7-3   7-4    x    4-7  
CTW    8-2   3-8   8-3   7-4   7-4    x   
                                          
EVN    6-3   3-6   8-1   5-4   2-7   4-5  
BBG    7-2   4-5   7-2   7-2   6-3   5-4  
GBP    6-3   4-5   3-6   3-6   1-8   4-5  
ES?    4-5   2-7   5-4   1-8   4-5   4-5  
NEE    8-1   4-5   5-4   2-7   2-7   3-6  
SUN    6-3   5-4   5-4   5-4   3-6   4-5  
                                          
CEN    6-3   5-4   7-2   4-5   5-4   7-2  
BMB    2-7   1-8   4-5   1-8   2-7   3-6  
BAR    6-3   3-6   7-2   3-6   4-5   4-5  
CCC    3-6   1-8   6-3   4-5   4-5   2-7  
FHK    6-3   3-6   5-4   6-3   4-5   6-3  
FER    2-7   4-5   4-5   2-7   5-4   4-5  
                                          



       EVN   BBG   GBP   ES?   NEE   SUN  
EVN     x    5-5   6-5   6-5   6-5   5-6  
BBG    5-5    x    8-3   7-4   7-4   5-6  
GBP    5-6   3-8    x    7-4   7-4   4-6  
ES?    5-6   4-7   4-7    x    4-6   4-7  
NEE    5-6   4-7   4-7   6-4    x    2-9  
SUN    6-5   6-5   6-4   7-4   9-2    x   
                                          
RYK    3-6   2-7   3-6   5-4   1-8   3-6  
TEW    6-3   5-4   5-4   7-2   5-4   4-5  
NFG    1-8   2-7   6-3   4-5   4-5   4-5  
MAR    4-5   2-7   6-3   8-1   7-2   4-5  
CIN    7-2   3-6   8-1   5-4   7-2   6-3  
CTW    5-4   4-5   5-4   5-4   6-3   5-4  
                                          
CEN    6-3   5-4   7-2   6-3   9-0   5-4  
BMB    4-5   2-7   6-3   4-5   3-6   2-7  
BAR    4-5   5-4   5-4   2-7   5-4   6-3  
CCC    4-5   1-8   5-4   5-4   7-2   1-8  
FHK    6-3   4-5   6-3   9-0   6-3   4-5  
FER    3-6   5-4   4-5   2-7   2-7   1-8  
                                          



       CEN   BMB   BAR   CCC   FHK   FER  
CEN     x    9-1   10-1  8-3   10-1  9-2  
BMB    1-9    x    3-8   5-6   5-6   2-9  
BAR    1-10  8-3    x    5-6   5-6   6-4  
CCC    3-8   6-5   6-5    x    6-4   4-7  
FHK    1-10  6-5   6-5   4-6    x    8-3  
FER    2-9   9-2   4-6   7-4   3-8    x   
                                          
RYK    3-6   7-2   3-6   6-3   3-6   7-2  
TEW    4-5   8-1   6-3   8-1   6-3   5-4  
NFG    2-7   5-4   2-7   3-6   4-5   5-4  
MAR    5-4   8-1   6-3   5-4   3-6   7-2  
CIN    4-5   7-2   5-4   5-4   5-4   4-5  
CTW    2-7   6-3   5-4   7-2   3-6   5-4  
                                          
EVN    3-6   5-4   5-4   5-4   3-6   6-3  
BBG    4-5   7-2   4-5   8-1   5-4   4-5  
GBP    2-7   3-6   4-5   4-5   3-6   5-4  
ES?    3-6   5-4   7-2   4-5   0-9   7-2  
NEE    0-9   6-3   4-5   2-7   3-6   7-2  
SUN    4-5   7-2   3-6   8-1   5-4   8-1  
                                          

