                               Injury Log -- All players in database                                
                                           Regular season                                           

      Date  #  Team    Player              Cause                Dur 
 5/10/1988     EVN     Aguayo              General                2 
 6/22/1988     RYK     Alicea              General                1 
 7/29/1988     FHK     Allanson            Collision on bases     5 
 6/12/1988     MAR     Alomar,R            General                1 
 8/23/1988     MAR     Alomar,R            General                5 
 5/21/1988     BAR     Anderson            General                9 
 7/31/1988     RYK     Anderson            Collision on bases    36 
 5/11/1988     GBP     Assenmacher         General               11 
 9/24/1988     BAR     Ballard             General               15 
 4/30/1988     BBG     Bankhead            General               20 
 9/29/1988     BAR     Barrett             General                8 
 4/13/1988     NEE     Belcher             General               10 
 6/19/1988     CTW     Bergman             Hit by pitch          16 
  5/8/1988     RYK     Biggio              Collision in field     6 
  9/7/1988     NFG     Birtsas             General               15 
 6/24/1988     CEN     Boever              General               14 
 5/29/1988     BBG     Boggs               General                5 
  6/4/1988     BMB     Bolton              General               16 
 5/29/1988     CEN     Boone               Collision in field     7 
 9/30/1988     CEN     Boone               Hit by pitch          26 
 6/11/1988     BAR     Boston              General                3 
  7/8/1988     BAR     Boston              General                6 
 7/25/1988     BAR     Bradley             Hit by pitch           8 
 9/21/1988     TEW     Bradley             General                7 
 4/15/1988     SUN     Brett               General                4 
 6/30/1988     CCC     Brock               Hit by pitch          31 
 9/16/1988     SUN     Brookens            General                5 
 8/28/1988     FHK     Burks               Collision on bases    18 
 4/17/1988     GBP     Bush                Brawl                 15 
  8/6/1988     FHK     Butera              General                8 
 4/13/1988     CIN     Caminiti            General                6 
  5/2/1988     CCC     Carter              General                1 
 8/11/1988     CCC     Carter              General                1 
 6/21/1988     NEE     Castillo            General                8 
  8/8/1988     NEE     Castillo            General               12 
 8/13/1988     FHK     Cerone              General                2 
  6/6/1988     CIN     Charlton            General                6 
 6/16/1988     NEE     Clark               General                1 
  4/3/1988     CEN     Coles               General                1 
 4/30/1988     CEN     Coles               General                3 
  9/4/1988     GBP     Concepcion          General               15 
 4/14/1988     SUN     Cone                General               15 
 7/30/1988     SUN     Cone                General               15 
  6/6/1988     CCC     Cotto               General               15 
 8/18/1988     CCC     Cotto               General                5 
 8/28/1988     CCC     Cotto               Hit by pitch          29 
 4/25/1988     MAR     Crim                General                9 
 6/12/1988     CIN     Daniels             General               12 
 6/16/1988     FHK     Darling             General               10 
 8/20/1988     NEE     Darwin              General                5 
  9/5/1988     NEE     Darwin              General               15 
  4/1/1988     BAR     Daulton             Collision in field    22 
  5/1/1988     BAR     Daulton             Collision in field    32 
 4/17/1988     CEN     Davis               Collision on bases    15 
 4/19/1988     FHK     Davis               General                2 
 8/16/1988     FHK     Deer                General                3 
 8/17/1988     MAR     Dernier             General               12 
 9/10/1988     CEN     Diaz                General               27 
  7/7/1988     CIN     Doran               General                5 
 8/10/1988     CIN     Doran               General                1 
 4/24/1988     NFG     Dunston             General                3 
 7/28/1988     NFG     Dunston             General                6 
  4/8/1988     NFG     Eckersley           General               12 
 5/21/1988     NEE     Evans               General                5 
  5/8/1988     GBP     Farr                General               10 
 9/14/1988     CIN     Fernandez           General                5 
 7/12/1988     FER     Fitzgerald          General                8 
 6/12/1988     CCC     Flanagan            General               10 
 9/21/1988     CCC     Flanagan            General               10 
 7/25/1988     CIN     Flannery            General               15 
 5/22/1988     MAR     Fletcher            General               14 
 8/15/1988     MAR     Foley               General                4 
                               Injury Log -- All players in database                                
                                           Regular season                                           

      Date  #  Team    Player              Cause                Dur 
 8/18/1988     BBG     Franco              General                5 
  8/3/1988     MAR     Gaetti              General                5 
  5/8/1988     FHK     Gagne               General                4 
 5/15/1988     GBP     Gant                General                4 
 8/27/1988     GBP     Gant                General                2 
 4/23/1988     TEW     Garber              Brawl                 37 
 4/19/1988     CEN     Gardner             General               15 
  6/4/1988     CEN     Gardner             General                5 
 4/18/1988     CCC     Gedman              General                3 
 5/16/1988     EVN     Gibson              General                4 
 9/18/1988     CTW     Gibson              Collision on bases    12 
 4/14/1988     CCC     Glavine             General               10 
  8/5/1988     BMB     Gott                General               15 
 4/24/1988     BMB     Griffey             General                2 
 9/17/1988     BMB     Griffey             General                4 
  5/3/1988     TEW     Gross,K             Brawl                 13 
 9/19/1988     CIN     Guante              General                6 
  7/3/1988     EVN     Guerrero            Collision on bases    33 
  8/5/1988     CIN     Guidry              General               18 
  4/7/1988     BBG     Gwynn               General                4 
 7/14/1988     GBP     Hall                General                3 
 4/12/1988     CCC     Harper              General                4 
 5/18/1988     CCC     Harper              Brawl                 16 
 6/18/1988     CCC     Harper              General               15 
  4/1/1988     TEW     Harvey              General                8 
 6/19/1988     BBG     Heath               General                8 
 4/15/1988     CEN     Henderson           General                9 
 4/20/1988     NEE     Henderson           General                1 
 6/12/1988     CEN     Henderson           General               14 
 9/24/1988     CEN     Henderson           General                5 
 4/14/1988     BBG     Hernandez           General                7 
  5/9/1988     EVN     Herr                General               20 
 6/16/1988     EVN     Herr                General               19 
 5/18/1988     CIN     Higuera             Brawl                  5 
  7/1/1988     BBG     Holton              General                8 
 6/15/1988     CTW     Horner              General                8 
 5/14/1988     GBP     Hrbek               General                9 
  7/6/1988     GBP     Hrbek               General                1 
 7/19/1988     GBP     Hrbek               General                5 
 5/12/1988     CIN     Jackson             General                1 
 5/14/1988     GBP     Jackson             General                8 
 7/28/1988     BAR     Jefferies           General               16 
  6/8/1988     ES?     Johnson             General                1 
 9/21/1988     ES?     Johnson             General                8 
 4/23/1988     RYK     Joyner              General                1 
 5/31/1988     RYK     Joyner              General                2 
 9/23/1988     RYK     Joyner              General                1 
 4/13/1988     ES?     Kittle              General                1 
 5/10/1988     ES?     Kittle              General               16 
 7/27/1988     ES?     Kittle              Hit by pitch          25 
 4/24/1988     FHK     Kruk                General                9 
 9/15/1988     EVN     Krukow              General               15 
 6/17/1988     CTW     Kutcher             General                4 
 4/18/1988     ES?     Lamp                General               21 
  4/2/1988     NFG     Lansford            General                3 
 4/22/1988     NFG     Lansford            General                6 
