                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                     Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
Jim Abbott*              FDH     sp  28  .111  .111  .148  27   3   1   0   0   1   0   0   0   4   0   0 
Kurt Abbott              OKO     ss  27  .262  .305  .377 122  32   9   1   1  11  14   1   7  38   0   1 
Bob Abreu*               GAR     lf  22  .435  .500  .826  23  10   3   0   2   6   3   0   3   0   0   0 
Terry Adams              FHK     mr  23  .000  .667  .000   1   0   0   0   0   0   0   0   2   0   0   0 
Willie Adams             BMB     sp  23  .167  .265  .200  30   5   1   0   0   3   1   0   4   5   0   1 
Joel Adamson*            FHK     mr  24  .000  .000  .000   1   0   0   0   0   0   0   0   0   0   0   0 
Rick Aguilera            DLM     sp  34  .000  .143  .000   6   0   0   0   0   1   0   0   1   3   0   0 
Manny Alexander          RMO     ss  25  .138  .138  .154  65   9   1   0   0   4   1   0   0  21   1   0 
Edgardo Alfonzo          FHK     2b  22  .238  .319  .346 298  71   7   5   5  36  24   3  33  54   2   0 
Luis Alicea#             TAR     2b  30  .288  .361  .409 372 107  30   3   3  51  40   5  41  62  14   6 
Jermaine Allensworth     ZZY     of  24  .000  .000  .000   3   0   0   0   0   0   0   0   0   1   0   0 
Roberto Alomar#          SCQ     2b  28  .330  .395  .551 648 214  50   9  25 127 109   5  66  83  26   4 
Sandy Alomar             BBG     c   30  .255  .279  .367 365  93  17   0   8  34  51   3  10  41   0   0 
Moises Alou              TAR     rf  29  .304  .362  .498 566 172  32   3  24  84 114   3  52  90  14   9 
Wilson Alvarez*          ZZY     sp  26  .193  .218  .289  83  16   5   0   1   8   7   0   3  21   0   0 
Rich Amaral              EVN     lf  34  .316  .396  .377 244  77   8   2   1  40  21   7  27  53  14   2 
Ruben Amaro#             NEP     rf  31  .275  .336  .431 109  30   9   1   2  13  13   1   9  21   0   0 
Brady Anderson*          BAR     cf  32  .296  .402  .619 530 157  34   7  41 128 112  22  76  97  20   4 
Brian Anderson#          TAR     sp  24  .313  .313  .500  16   5   3   0   0   0   2   0   0   4   0   0 
Garret Anderson*         TAR     lf  24  .299  .341  .386 461 138  29   1   3  45  44   3  27  58  15   6 
Shane Andrews            CEN     3b  24  .182  .280  .273  44   8   1   0   1   5   7   1   5  18   0   0 
Eric Anthony*            SCQ     rf  28  .292  .395  .600 195  57  10   1  16  38  37   1  32  57   2   2 
Kevin Appier             FER     sp  28  .174  .209  .291  86  15   1   0   3   7  12   1   3  15   0   0 
Alex Arias               TEW     3b  28  .286  .335  .372 234  67  10   2   2  29  20   3  15  34   0   0 
George Arias             FDH     3b  24  .238  .272  .316 269  64  13   1   2  31  24   3  10  50   1   0 
Andy Ashby               OKO     sp  28  .211  .224  .281  57  12   4   0   0   5   6   0   1  18   0   0 
Billy Ashley             NEP     lf  25  .333  .333  .667   3   1   1   0   0   1   2   0   0   0   0   0 
Paul Assenmacher*        CIN     mr  35  .000  .000  .000   3   0   0   0   0   0   0   0   0   1   0   0 
Pedro Astacio            RMO     sp  26  .074  .087  .162  68   5   3   0   1   3   4   0   1  27   0   0 
Rich Aurilia             BBG     ss  24  .268  .324  .324 284  76   7   3   1  25  21   0  24  54   0   0 
Brad Ausmus              RMO     c   27  .176  .265  .266 301  53   7   1   6  28  26   5  32  60   4   0 
Steve Avery*             TEW     sp  26  .438  .438  .813  16   7   2   2   0   2   3   0   0   4   0   0 
Carlos Baerga#           GAR     2b  27  .237  .283  .302 427 101  19   0   3  40  34  10  20  26   1   0 
Jeff Bagwell             BBG     1b  28  .339  .460  .624 434 147  32   4  28  78  93   8  95  88   8   1 
Cory Bailey              BAR     mr  25  .200  .429  .200   5   1   0   0   0   3   0   0   2   0   0   0 
Roger Bailey             BMB     mr  25  .292  .320  .583  24   7   0   2   1   3   3   0   1   5   0   0 
Harold Baines*           GAR     dh  37  .296  .374  .448 442 131  18   2  15  63  60   1  56  63   4   4 
James Baldwin            TAR     sp  24  .022  .061  .022  46   1   0   0   0   0   2   0   2  13   0   0 
Brian Banks#             BMB     1b  25  .375  .444  .875   8   3   1   0   1   2   1   0   1   2   0   0 
Tony Barron              FDH     lf  29  .000  .000  .000   4   0   0   0   0   0   0   0   0   1   0   0 
Kimera Bartee            CTW     cf  23  .271  .315  .331 133  36   2   0   2  17  12   2   7  43   2   0 
Rich Batchelor           FER     mr  29  .000  .000  .000   1   0   0   0   0   0   0   0   0   0   0   0 
Jason Bates#             DLM     2b  25  .000  .000  .000   3   0   0   0   0   0   0   0   0   2   0   0 
Miguel Batista           FDH     mr  25  .000  .000  .000   1   0   0   0   0   0   0   0   0   0   0   0 
Tony Batista             OKO     2b  22  .336  .378  .461 256  86  12   1   6  39  43   1  17  45   9   1 
Jose Bautista            TAR     mr  31  .100  .100  .100  10   1   0   0   0   0   1   0   0   3   0   0 
Rod Beck                 FHK     cl  27  .167  .167  .167   6   1   0   0   0   0   1   0   0   2   0   0 
Rich Becker*             SCQ     cf  24  .305  .364  .408 525 160  21   9   5  96  54   3  48 119  24   3 
Matt Beech*              RMO     sp  24  .000  .083  .000  11   0   0   0   0   0   0   1   0   4   0   0 
Tim Belcher              SCQ     sp  34  .132  .165  .145  76  10   1   0   0   5   2   0   3  19   0   0 
Stan Belinda             NEP     mr  29  .000  .000  .000   5   0   0   0   0   0   0   0   0   1   0   0 
David Bell               WIN     3b  23  .264  .309  .393 140  37   4   1   4  15  18   1   8  20   1   0 
Derek Bell               TEW     rf  27  .282  .326  .463 482 136  37   4  14  61  87   9  24  99  18  11 
Jay Bell                 ZZY     ss  30  .231  .297  .370 511 118  21   1  16  54  56   4  45 107   6   0 
Albert Belle             ZZY     lf  29  .266  .352  .558 625 166  32   2  49 102 117   9  76 100   7   5 
Esteban Beltre           DLM     3b  28  .000  .000  .000   0   0   0   0   0   0   1   0   0   0   0   0 
Marvin Benard*           TAR     cf  25  .283  .355  .420 138  39   7   3   2  16  22   0  16  23   0   2 
Alan Benes               TEW     sp  24  .106  .176  .106  47   5   0   0   0   3   2   1   3  19   0   0 
Andy Benes               CIN     sp  28  .203  .215  .281  64  13   3   1   0   8   7   0   1  27   0   0 
Armando Benitez          FHK     cl  23 1.000 1.000 1.000   1   1   0   0   0   1   0   0   0   0   0   0 
Mike Benjamin            BMB     ss  30  .222  .309  .407 108  24   8   0   4  16  10   3  11  25   0   0 
Gary Bennett             WIN     c   24  .318  .318  .364  22   7   1   0   0   2   4   0   0   9   0   0 
Sean Bergman             DLM     mr  26  .000  .000  .000   4   0   0   0   0   0   0   0   0   2   0   0 
