  1.01 RMO Haverty    - Bartolo Colon, sp
  1.02 GAR Bernstein  - Miguel Odalis Tejada, ss
  1.03 BBG Canter     - Magglio Ordonez, of
  1.04 FDH English    - Todd Lynn Helton, rf
  1.05 WIN Carroll    - Jose Angel Vidro, 2b
  1.06 DLM Potter     - Kevin Austin Millwood, p
  1.07 TAR Lingo      - Matthew Christian Morris, rsp
  1.08 TEW Bailey     - Derek Christopher Lowe, rsp
  1.09 ZZY Poole      - David Americo Ortiz, 1b
  1.10 SCQ Manuel     - Christopher John Carpenter, rsp
  1.11 OKO Smith      - Kelvim Jose Escobar, rsp
  1.12 TEW Bailey     - Keith Charles Foulke, rrp
  1.13 FER Olkin      - Jason Andrew Varitek, c
  1.14 RMO Haverty    - Torii Kedar Hunter, cf
  1.15 CIN MillerC    - Aaron John Boone, 3b
  1.16 CIN MillerC    - Benjamin Grieve, of
  1.17 CIN MillerC    - Brett Daniel Tomko, rsp
  1.18 EVN Henninger  - Dave Scott Veres, rrp
  1.19 FHK Chernow    - Orlando Luis Cabrera, ss
  1.20 RMO Haverty    - Derrek Leon Lee, 1b
  2.01 GAR Bernstein  - Richard Jose Hidalgo, cf
  2.02 RMO Haverty    - Mark James Grudzielanek, ss
  2.03 EVN Henninger  - Steve Larry Woodard, rsp
  2.04 WIN Carroll    - Antonio Alfonseca, rrp
  2.05 FDH English    - Steve James Kline, lrp
  2.06 CEN Stearns    - John Carl Thomson, rsp
  2.07 OKO Smith      - Delino Lamont DeShields, 2b
  2.08 TEW Bailey     - Cory Fulton Lidle, rmr
  2.09 ZZY Poole      - Richmond Lockwood Sexson, 1b
  2.10 SCQ Manuel     - Mark Steven Kotsay, cf
  2.11 OKO Smith      - Ricardo Rincon, lmr
  2.12 FER Olkin      - Kerry Dale Ligtenberg, rmr
  2.13 CEN Stearns    - Gabriel Allen White, lsp
  2.14 CIN MillerC    - Scott Daniel Servais, c
  2.15 NEP Sasman     - Darrin Glen Fletcher, c
  2.16 CTW MillerR    - Shigetoshi Hasegawa, rmr
  2.17 TAR Lingo      - Jack Thomas Snow, 1b
  2.18 NEP Sasman     - Sean Robert Berry, 3b
  2.19 FHK Chernow    - Jose Luis Cruz Jr, lf
  2.20 BBG Canter     - Fernando Tatis, 3b
  3.01 GAR Bernstein  - Michael Robert Sirotka, lsp
  3.02 NEP Sasman     - Juan Carlos Acevedo, rmr
  3.03 FFR Scott      - Kevin Douglas Stocker, ss
  3.04 WIN Carroll    - David Michael Dellucci, rf
  3.05 FDH English    - Stanley Julian Antonio Javier, rf
  3.06 DLM Potter     - Darryl Quinn Hamilton, cf
  3.07 TAR Lingo      - David Michael Hollins, 3b
  3.08 TEW Bailey     - Kevin Leonard Orie, 3b
  3.09 CTW MillerR    - Michael Robert Morandini, 2b
  3.10 SCQ Manuel     - Paul Henry Konerko, 3b
  3.11 OKO Smith      - Wallace Keith Joyner, 1b
  3.12 NEP Sasman     - Ruben Rivera, cf
  3.13 FFR Scott      - William Allen Blair, rsp
  3.14 RMO Haverty    - Jose Manuel Guillen, rf
  3.15 DLM Potter     - Brian Wesley McRae, cf
  3.16 BBG Canter     - Kevin Ray Tapani, rsp
  3.17 BAR Marshall   - Frank John Catalanotto, 2b
  3.18 EVN Henninger  - Hideki Irabu, rsp
  3.19 FHK Chernow    - Jose Mercedes, rsp
  3.20 FFR Scott      - Dave Clark, lf
  4.01 GAR Bernstein  - Glendon Rusch, lsp
  4.02 RMO Haverty    - Dennys Reyes, lmr
  4.03 FFR Scott      - Mark Bellhorn, 3b
  4.04 WIN Carroll    - Dante Bichette, lf
  4.05 WIN Carroll    - Brad Fullmer, 1b
  4.06 CEN Stearns    - Charlie O'Brien, c
  4.07 TAR Lingo      - Alex S. Gonzalez, ss
  4.08 TEW Bailey     - Chili Davis, dh
  4.09 ZZY Poole      - Todd Ritchie, rmr
  4.10 SCQ Manuel     - Tim Worrell, rmr
  4.11 DLM Potter     - Darren Holmes, rmr
  4.12 FER Olkin      - Jaret Wright, rsp
  4.13 CEN Stearns    - Sean Casey, 1b
  4.14 BAR Marshall   - Jerry DiPoto, rmr
  4.15 NEP Sasman     - Osvaldo Fernandez, rsp
  4.16 CTW MillerR    - Devon White, cf
  4.17 EVN Henninger  - Walt Weiss, ss
  4.18 BAR Marshall   - Russ Davis, 3b
  4.19 FHK Chernow    - Damian Miller, c
  4.20 BBG Canter     - Geremi Gonzalez, rsp
  5.01 GAR Bernstein  - Bobby Witt, rsp
  5.02 CIN MillerC    - Joey Hamilton, rsp
  5.03 BBG Canter     - John Wasdin, rmr
  5.04 WIN Carroll    - Hector Carrasco, rmr
  5.05 FDH English    - Kurt Abbott, 2b
  5.06 NEP Sasman     - Deivi Cruz, ss
  5.07 TAR Lingo      - Jay Powell, rmr
  5.08 NEP Sasman     - Bubba Trammell, rf
  5.09 ZZY Poole      - Darrell May, lmr
  5.10 SCQ Manuel     - Mike Matheny, c
  5.11 OKO Smith      - Mike Morgan, rsp
  5.12 CEN Stearns    - Mike Blowers, 1b
  5.13 FER Olkin      - Paul Sorrento, 1b
  5.14 CIN MillerC    - Domingo Cedeno, 2b
  5.15 NEP Sasman     - Lenny Webster, c
  5.16 CEN Stearns    - Damian Jackson, ss
  5.17 BAR Marshall   - Mike DeJean, rmr
  5.18 NEP Sasman     - Juan Encarnacion, rf
  5.19 FHK Chernow    - Mike Cather, rmr
  5.20 RMO Haverty    - Jason Johnson, rmr
  6.01 GAR Bernstein  - Ed Sprague, 3b
  6.02 RMO Haverty    - Tony Saunders, lsp
  6.03 BBG Canter     - Rob Ducey, lf
  6.04 RMO Haverty    - Chad Fox, rmr
  6.05 FDH English    - Bip Roberts, 2b
  6.06 DLM Potter     - Sean Bergman, rmr
  6.07 TAR Lingo      - Gerald Williams, cf
  6.08 TEW Bailey     - Ryne Sandberg, 2b
  6.09 ZZY Poole      - Todd Hollandsworth, lf
  6.10 SCQ Manuel     - Jeff Brantley, rmr (Need new list)
  6.11 OKO Smith      - Donovan Osborne, lsp
  6.12 FER Olkin      - Bryce Florie, rmr
  6.13 CEN Stearns    - Kelly Stinnett, c
  6.14 CIN MillerC    - Giovanni Carrara, rsp
  6.15 NEP Sasman     - Miguel Cairo, 2b
  6.16 CTW MillerR    - Marvin Benard, rf
  6.17 RMO Haverty    - Armando Reynoso, rsp
  6.18 BAR Marshall   - Kevin Polcovich, ss
  6.19 NEP Sasman     - Greg Colbrunn, 1b
  6.20 FFR Scott      - Salomon Torres, rmr
  7.01 GAR Bernstein  - Sterling Hitchcock, lsp
  7.02 RMO Haverty    - Tom Martin, lmr
  7.03 BBG Canter     - Brian Johnson, c
  7.04 WIN Carroll    - Pokey Reese, ss
  7.05 FDH English    - George Williams, c
  7.06 DLM Potter     - Carlos Garcia, 2b
  7.07 TAR Lingo      - Aaron Small, rmr
  7.08 TEW Bailey     - Mike Thurman, rsp
  7.09 ZZY Poole      - Jeff Conine, 1b
  7.10 SCQ Manuel     - Pat Rapp, rsp
  7.11 OKO Smith      - Dan Miceli, rmr
  7.12 CEN Stearns    - Homer Bush, 2b
  7.13 CIN MillerC    - Doug Glanville, lf
  7.14 RMO Haverty    - Wayne Gomes, rmr
  7.15 NEP Sasman     - Shane Andrews, 3b
  7.16 CTW MillerR    - Bobby Ayala, rmr
