                            League transaction log -- Seven More Minutes                            
                                           Regular season                                           

Date       Team    Player              Type                           OthTm    EffDate    When     
11/1/1999  BBG     Lee,Da              Demoted to reserve roster                          Before   
11/1/1999  GAR     Saberhagen          Demoted to reserve roster                          Before   
10/30/1999 GAR     Pote                Demoted to reserve roster                          Before   
10/29/1999 GAR     Difelice            Promoted to active roster                          Before   
10/28/1999 GAR     Paquette            Promoted to active roster                          Before   
10/25/1999 BBG     Lee,Da              Promoted to active roster                          Before   
10/25/1999 GAR     Jimenez,D           Demoted to reserve roster                          Before   
10/25/1999 GAR     Paniagua            Demoted to reserve roster                          Before   
10/25/1999 GAR     Petrick             Promoted to active roster                          Before   
10/20/1999 GAR     Jimenez,D           Promoted to active roster                          Before   
10/19/1999 CTW     Thompson,M          Demoted to reserve roster                          Before   
10/18/1999 MCL     Jackson,Dar         Promoted to active roster                          Before   
10/15/1999 BAR     Ankiel              Promoted to active roster                          Before   
10/15/1999 BAR     Meares              Promoted to active roster                          Before   
10/15/1999 BBG     Chouinard           Promoted to active roster                          Before   
10/15/1999 CTW     Buhner              Promoted to active roster                          Before   
10/15/1999 CTW     Mateo               Demoted to reserve roster                          Before   
10/15/1999 GAR     Garces              Promoted to active roster                          Before   
10/15/1999 GAR     Halama              Promoted to active roster                          Before   
10/15/1999 GAR     Jimenez,D           Demoted to reserve roster                          Before   
10/15/1999 GAR     Petrick             Demoted to reserve roster                          Before   
10/15/1999 GAR     Pote                Promoted to active roster                          Before   
10/15/1999 GAR     Saberhagen          Promoted to active roster                          Before   
10/15/1999 MCL     Brantley            Demoted to reserve roster                          Before   
10/15/1999 MCL     Dalesandro          Demoted to reserve roster                          Before   
10/15/1999 MCL     Ducey               Demoted to reserve roster                          Before   
10/15/1999 MCL     Embree              Demoted to reserve roster                          Before   
10/15/1999 MCL     Embree              Promoted to active roster                          Before   
10/15/1999 MCL     Fox,A               Demoted to reserve roster                          Before   
10/15/1999 MCL     Greene,T            Demoted to reserve roster                          Before   
10/15/1999 MCL     Howard,D            Demoted to reserve roster                          Before   
10/15/1999 MCL     Jackson,Dar         Demoted to reserve roster                          Before   
10/15/1999 MCL     Mussina             Promoted to active roster                          Before   
10/15/1999 MCL     Norton              Demoted to reserve roster                          Before   
10/15/1999 MCL     Olson               Demoted to reserve roster                          Before   
10/15/1999 MCL     Peterson            Demoted to reserve roster                          Before   
10/15/1999 MCL     Radinsky            Demoted to reserve roster                          Before   
10/15/1999 MCL     Rogers              Promoted to active roster                          Before   
10/15/1999 MCL     Schrenk             Demoted to reserve roster                          Before   
10/15/1999 MCL     Shaw                Promoted to active roster                          Before   
10/15/1999 MCL     Silva               Demoted to reserve roster                          Before   
10/15/1999 MCL     Watson              Demoted to reserve roster                          Before   
10/15/1999 MCL     Whisenant           Demoted to reserve roster                          Before   
10/15/1999 TEW     Rios                Promoted to active roster                          Before   
10/12/1999 BBG     Chouinard           Demoted to reserve roster                          Before   
10/12/1999 GAR     Jimenez,D           Promoted to active roster                          Before   
10/12/1999 GAR     Saberhagen          Demoted to reserve roster                          Before   
10/10/1999 BAR     Ankiel              Demoted to reserve roster                          Before   
10/10/1999 BAR     Meares              Demoted to reserve roster                          Before   
10/10/1999 GAR     Garces              Demoted to reserve roster                          Before   
10/10/1999 TEW     Rios                Demoted to reserve roster                          Before   
10/9/1999  GAR     Pote                Demoted to reserve roster                          Before   
10/5/1999  BAR     Adams               Demoted to reserve roster                          Before   
10/5/1999  BAR     Ankiel              Promoted to active roster                          Before   
10/5/1999  BAR     Bennett,G           Demoted to reserve roster                          Before   
10/5/1999  BAR     Cabrera,Jos         Promoted to active roster                          Before   
10/5/1999  BAR     Dipoto              Demoted to reserve roster                          Before   
10/5/1999  BAR     Jones,J             Demoted to reserve roster                          Before   
10/5/1999  BAR     Lloyd               Demoted to reserve roster                          Before   
10/5/1999  BAR     Lopez,J             Promoted to active roster                          Before   
10/5/1999  BAR     McLemore            Demoted to reserve roster                          Before   
10/5/1999  BAR     Meares              Promoted to active roster                          Before   
10/5/1999  BAR     Millar              Promoted to active roster                          Before   
10/5/1999  BAR     Miller,Tra          Demoted to reserve roster                          Before   
10/5/1999  BAR     Perez,Y             Demoted to reserve roster                          Before   
10/5/1999  BAR     Reyes,A             Demoted to reserve roster                          Before   
10/5/1999  BAR     Reyes,D             Demoted to reserve roster                          Before   
10/5/1999  BAR     Runyan              Demoted to reserve roster                          Before   
10/5/1999  BAR     Schilling           Promoted to active roster                          Before   
10/5/1999  BAR     Smoltz              Promoted to active roster                          Before   
10/5/1999  BAR     Steinbach           Demoted to reserve roster                          Before   
10/5/1999  BAR     Steinbach           Promoted to active roster                          Before   
                            League transaction log -- Seven More Minutes                            
                                           Regular season                                           

Date       Team    Player              Type                           OthTm    EffDate    When     
10/5/1999  BAR     Vizquel             Promoted to active roster                          Before   
10/5/1999  BAR     Williams,J          Demoted to reserve roster                          Before   
10/5/1999  BAR     Winn                Demoted to reserve roster                          Before   
10/5/1999  BBG     Agbayani            Promoted to active roster                          Before   
10/5/1999  BBG     Bogar               Demoted to reserve roster                          Before   
10/5/1999  BBG     Bragg               Demoted to reserve roster                          Before   
10/5/1999  BBG     Cedeno,R            Demoted to reserve roster                          Before   
10/5/1999  BBG     Chouinard           Promoted to active roster                          Before   
10/5/1999  BBG     Collier             Demoted to reserve roster                          Before   
10/5/1999  BBG     Gooden              Demoted to reserve roster                          Before   
10/5/1999  BBG     Graffanino          Promoted to active roster                          Before   
10/5/1999  BBG     Gwynn               Promoted to active roster                          Before   
10/5/1999  BBG     Hill,K              Demoted to reserve roster                          Before   
10/5/1999  BBG     Hoffman             Promoted to active roster                          Before   
10/5/1999  BBG     Hudson              Promoted to active roster                          Before   
10/5/1999  BBG     Hunter,BR           Demoted to reserve roster                          Before   
10/5/1999  BBG     Johns               Demoted to reserve roster                          Before   
10/5/1999  BBG     Kent                Promoted to active roster                          Before   
10/5/1999  BBG     Lankford            Promoted to active roster                          Before   
10/5/1999  BBG     Milton              Promoted to active roster                          Before   
10/5/1999  BBG     Mlicki              Demoted to reserve roster                          Before   
10/5/1999  BBG     Nitkowski           Promoted to active roster                          Before   
10/5/1999  BBG     Osik                Demoted to reserve roster                          Before   
10/5/1999  BBG     Parque              Demoted to reserve roster                          Before   
10/5/1999  BBG     Posada              Promoted to active roster                          Before   
10/5/1999  BBG     Rocker              Promoted to active roster                          Before   
10/5/1999  BBG     Rosado              Promoted to active roster                          Before   
10/5/1999  BBG     Tapani              Demoted to reserve roster                          Before   
10/5/1999  BBG     Thompson,J          Demoted to reserve roster                          Before   
10/5/1999  BBG     Villone             Promoted to active roster                          Before   
10/5/1999  BBG     Walbeck             Demoted to reserve roster                          Before   
10/5/1999  BBG     Wasdin              Demoted to reserve roster                          Before   
10/5/1999  BBG     Wilson,D            Demoted to reserve roster                          Before   
10/5/1999  BBG     Wright,Jar          Demoted to reserve roster                          Before   
10/5/1999  TEW     Banks               Demoted to reserve roster                          Before   
10/5/1999  TEW     Croushore           Demoted to reserve roster                          Before   
10/5/1999  TEW     Delgado,C           Promoted to active roster                          Before   
10/5/1999  TEW     Garciaparra         Promoted to active roster                          Before   
10/5/1999  TEW     Greer               Promoted to active roster                          Before   
10/5/1999  TEW     Hermanson           Promoted to active roster                          Before   
10/5/1999  TEW     Leyritz             Promoted to active roster                          Before   
10/5/1999  TEW     Mayne               Promoted to active roster                          Before   
10/5/1999  TEW     Morandini           Demoted to reserve roster                          Before   
10/5/1999  TEW     Pavano              Promoted to active roster                          Before   
10/5/1999  TEW     Randa               Promoted to active roster                          Before   
10/5/1999  TEW     Reed,R              Demoted to reserve roster                          Before   
10/5/1999  TEW     Sadler              Placed on disabled list                 9/27/1999  Before   
10/5/1999  TEW     Sanchez,R           Demoted to reserve roster                          Before   
10/5/1999  TEW     Sanchez,R           Promoted to active roster                          Before   
10/5/1999  TEW     Schmidt             Demoted to reserve roster                          Before   
10/5/1999  TEW     Seguignol           Demoted to reserve roster                          Before   
10/5/1999  TEW     Stocker             Placed on disabled list                 10/3/1999  Before   
10/5/1999  TEW     Telford             Demoted to reserve roster                          Before   
10/5/1999  TEW     Wall                Promoted to active roster                          Before   
10/3/1999  BBG     Tapani              Demoted to reserve roster                          Before   
10/3/1999  BBG     Tapani              Promoted to active roster                          Before   
10/3/1999  CIN     Larkin,B            Demoted to reserve roster                          Before   
10/3/1999  CTW     Benard              Demoted to reserve roster                          Before   
10/3/1999  CTW     Buhner              Demoted to reserve roster                          Before   
10/3/1999  CTW     Buhner              Promoted to active roster                          Before   
10/3/1999  CTW     Burba               Demoted to reserve roster                          Before   
10/3/1999  CTW     Castillo,A          Demoted to reserve roster                          Before   
10/3/1999  CTW     Gonzalez,AS         Demoted to reserve roster                          Before   
10/3/1999  CTW     Howard,T            Demoted to reserve roster                          Before   
10/3/1999  CTW     Johnson,B           Demoted to reserve roster                          Before   
10/3/1999  CTW     Jones,C             Promoted to active roster                          Before   
10/3/1999  CTW     LaRue               Demoted to reserve roster                          Before   
10/3/1999  CTW     Lima                Demoted to reserve roster                          Before   
10/3/1999  CTW     Mateo               Demoted to reserve roster                          Before   
10/3/1999  CTW     Mateo               Promoted to active roster                          Before   
10/3/1999  CTW     Matthews            Promoted to active roster                          Before   
10/3/1999  CTW     McElroy             Demoted to reserve roster                          Before   
                            League transaction log -- Seven More Minutes                            
                                           Regular season                                           

Date       Team    Player              Type                           OthTm    EffDate    When     
10/3/1999  CTW     Montgomery,S        Demoted to reserve roster                          Before   
10/3/1999  CTW     Orie                Demoted to reserve roster                          Before   
10/3/1999  CTW     Pratt               Demoted to reserve roster                          Before   
10/3/1999  CTW     Sauerbeck           Promoted to active roster                          Before   
10/3/1999  CTW     Spehr               Promoted to active roster                          Before   
10/3/1999  CTW     Thompson,M          Promoted to active roster                          Before   
10/3/1999  CTW     Trombley            Demoted to reserve roster                          Before   
10/3/1999  CTW     Wright,Jam          Demoted to reserve roster                          Before   
10/3/1999  FER     Wickman             Demoted to reserve roster                          Before   
10/3/1999  FLL     Jones,A             Demoted to reserve roster                          Before   
10/3/1999  GAR     Abbott,P            Promoted to active roster                          Before   
10/3/1999  GAR     Almanza             Demoted to reserve roster                          Before   
10/3/1999  GAR     Clontz              Demoted to reserve roster                          Before   
10/3/1999  GAR     Cone                Promoted to active roster                          Before   
10/3/1999  GAR     Garces              Promoted to active roster                          Before   
10/3/1999  GAR     Harnisch            Demoted to reserve roster                          Before   
10/3/1999  GAR     Hidalgo             Demoted to reserve roster                          Before   
10/3/1999  GAR     Hitchcock           Demoted to reserve roster                          Before   
10/3/1999  GAR     Karchner            Demoted to reserve roster                          Before   
10/3/1999  GAR     Olivares            Demoted to reserve roster                          Before   
10/3/1999  GAR     Orosco              Demoted to reserve roster                          Before   
10/3/1999  GAR     Paniagua            Promoted to active roster                          Before   
10/3/1999  GAR     Paquette            Demoted to reserve roster                          Before   
10/3/1999  GAR     Parris              Demoted to reserve roster                          Before   
10/3/1999  GAR     Petrick             Promoted to active roster                          Before   
10/3/1999  GAR     Pote                Promoted to active roster                          Before   
10/3/1999  GAR     Saberhagen          Promoted to active roster                          Before   
